# S&P 500 Index ($SPX) downloaded from https://www.barchart.com/stocks/quotes/$SPX on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [$K]",Volume,Price,Earnings,Price/Earnings,Dividend
A,"Agilent Technologies","Computers and Technology","Electronic Test Equipment",NYSE,Yes,31342796,1180700,101.66,3.19,33.24,0.180
AAL,"American Airlines Gp",Transportation,"Transportation - Airline",NASDAQ,Yes,5569520,64399801,10.95,-14.86,0.00,0.100
AAP,"Advance Auto Parts Inc",Retail-Wholesale,"Retail - Wholesale Auto Parts",NYSE,Yes,10120566,687800,146.38,7.57,19.87,0.250
AAPL,"Apple Inc","Computers and Technology","Computer - Mini",NASDAQ,Yes,1927912160,143937797,111.20,3.30,35.47,0.205
ABBV,"Abbvie Inc",Medical,"Large Cap Pharma",NYSE,Yes,142051408,11480100,80.49,9.30,8.89,1.180
ABC,"Amerisourcebergen Corp",Medical,"Medical - Dental Suppliers",NYSE,Yes,19536388,1842600,95.70,7.62,12.81,0.420
ABMD,"Abiomed Inc",Medical,"Medical Instruments",NASDAQ,Yes,12748301,448700,283.00,3.72,78.09,N/A
ABT,"Abbott Laboratories",Medical,"Medical Products",NYSE,Yes,188419808,7104900,106.42,3.15,34.47,0.360
ACN,"Accenture Plc","Business Services",Consulting,NYSE,Yes,136233136,2412200,213.94,7.60,29.03,0.880
ADBE,"Adobe Systems Inc","Computers and Technology","Computer - Software",NASDAQ,Yes,219217184,2677300,456.97,8.04,59.52,0.013
ADI,"Analog Devices","Computers and Technology","Semi Analog & Mixed",NASDAQ,Yes,42996764,3387200,116.47,4.66,25.81,0.620
ADM,"Archer Daniels Midland","Consumer Staples","Agriculture Operations",NYSE,Yes,27515638,4291300,49.52,3.68,13.68,0.360
ADP,"Automatic Data Procs","Business Services",Outsourcing,NASDAQ,Yes,66660520,4716700,155.08,5.92,24.67,0.910
ADSK,"Autodesk Inc","Computers and Technology","Computer - Software",NASDAQ,Yes,52105076,1357400,237.62,1.99,125.93,0.015
AEE,"Ameren Corp",Utilities,"Utility - Electric Power",NYSE,Yes,20114584,1131500,81.37,3.42,24.62,0.495
AEP,"American Electric Power Company",Utilities,"Utility - Electric Power",NASDAQ,Yes,44833580,2916300,90.32,4.17,22.19,0.700
AES,"The Aes Corp",Utilities,"Utility - Electric Power",NYSE,Yes,12970054,6373700,19.50,1.37,14.85,0.143
AFL,"Aflac Inc",Finance,"Insurance - Accident & Health",NYSE,Yes,24345944,6813500,34.15,4.68,7.20,0.280
AIG,"American International Group",Finance,"Insurance - Multi Line",NYSE,Yes,26041150,8129300,30.23,2.36,13.20,0.320
AIV,"Apartment Investment and Management",Finance,"REIT - Equity Trust Resident",NYSE,Yes,4495753,4454800,30.20,1.21,12.33,0.410
AIZ,"Assurant Inc",Finance,"Insurance - Multi Line",NYSE,Yes,7289581,402200,122.21,9.33,12.94,0.630
